"Index","EquityEOD","Leverage","EquityAtStartOfPeriod","SumValueOfPositionsAtTime","Lvrg_SMA7"
"2015-05-11",70887,0,0,0,0
"2015-05-12",70887,0,0,0,0
"2015-05-13",70887,0,0,0,0
"2015-05-14",70887,0,0,0,0
"2015-05-15",70887,0,0,0,0
"2015-05-16",70887,0,0,0,0
"2015-05-17",70887,0,0,0,0
"2015-05-18",70887,0,0,0,0
"2015-05-19",70887,0,0,0,0
"2015-05-20",70887,0,0,0,0
"2015-05-21",70887,0,0,0,0
"2015-05-22",70887,0,0,0,0
"2015-05-23",70887,0,0,0,0
"2015-05-24",70887,0,0,0,0
"2015-05-25",70887,0,0,0,0
"2015-05-26",70887,0,0,0,0
"2015-05-27",70887,0,0,0,0
"2015-05-28",70887,0,0,0,0
"2015-05-29",70887,0,0,0,0
"2015-05-30",70887,0,0,0,0
"2015-05-31",70887,0,0,0,0
"2015-06-01",70887,0,0,0,0
"2015-06-02",70887,0,0,0,0
"2015-06-03",70887,0,0,0,0
"2015-06-04",70887,0,0,0,0
"2015-06-05",70887,0,0,0,0
"2015-06-06",70887,0,0,0,0
"2015-06-07",70887,0,0,0,0
"2015-06-08",70887,0,0,0,0
"2015-06-09",70887,0,0,0,0
"2015-06-10",70887,0,0,0,0
"2015-06-11",70887,0,0,0,0
"2015-06-12",70887,0,0,0,0
"2015-06-13",70887,0,0,0,0
"2015-06-14",70887,0,0,0,0
"2015-06-15",70887,0,0,0,0
"2015-06-16",70887,0,0,0,0
"2015-06-17",70887,0,0,0,0
"2015-06-18",70887,0,0,0,0
"2015-06-19",70887,0,0,0,0
"2015-06-20",70887,0,0,0,0
"2015-06-21",70887,0,0,0,0
"2015-06-22",70887,0,0,0,0
"2015-06-23",70887,0,0,0,0
"2015-06-24",70887,0,0,0,0
"2015-06-25",70887,0,0,0,0
"2015-06-26",70887,0,0,0,0
"2015-06-27",70887,0,0,0,0
"2015-06-28",70887,0,0,0,0
"2015-06-29",70887,0,0,0,0
"2015-06-30",70887,0,0,0,0
"2015-07-01",70887,0,0,0,0
"2015-07-02",70887,0,0,0,0
"2015-07-03",70887,0,0,0,0
"2015-07-04",70887,0,0,0,0
"2015-07-05",70887,0,0,0,0
"2015-07-06",70887,0,0,0,0
"2015-07-07",70887,0,0,0,0
"2015-07-08",70887,0,0,0,0
"2015-07-09",70887,0,0,0,0
"2015-07-10",70887,0,0,0,0
"2015-07-11",70887,0,0,0,0
"2015-07-12",70887,0,0,0,0
"2015-07-13",70887,0,0,0,0
"2015-07-14",70887,0,0,0,0
"2015-07-15",70887,0,0,0,0
"2015-07-16",70887,0,0,0,0
"2015-07-17",70887,0,0,0,0
"2015-07-18",70887,0,0,0,0
"2015-07-19",70887,0,0,0,0
"2015-07-20",70887,0,0,0,0
"2015-07-21",70887,0,0,0,0
"2015-07-22",70887,0,0,0,0
"2015-07-23",70887,0,0,0,0
"2015-07-24",70887,0,0,0,0
"2015-07-25",70887,0,0,0,0
"2015-07-26",70887,0,0,0,0
"2015-07-27",70887,0,0,0,0
"2015-07-28",70887,0,0,0,0
"2015-07-29",70887,0,0,0,0
"2015-07-30",70887,0,0,0,0
"2015-07-31",70887,0,0,0,0
"2015-08-01",70887,0,0,0,0
"2015-08-02",70887,0,0,0,0
"2015-08-03",70887,0,0,0,0
"2015-08-04",70887,0,0,0,0
"2015-08-05",70887,0,0,0,0
"2015-08-06",70887,0,0,0,0
"2015-08-07",70887,0,0,0,0
"2015-08-08",70887,0,0,0,0
"2015-08-09",70887,0,0,0,0
"2015-08-10",70887,0,0,0,0
"2015-08-11",70887,0,0,0,0
"2015-08-12",70887,0,0,0,0
"2015-08-13",70887,0,0,0,0
"2015-08-14",70887,0,0,0,0
"2015-08-15",70887,0,0,0,0
"2015-08-16",70887,0,0,0,0
"2015-08-17",70887,0,0,0,0
"2015-08-18",70887,0,0,0,0
"2015-08-19",70887,0,0,0,0
"2015-08-20",70887,0,0,0,0
"2015-08-21",70887,0,0,0,0
"2015-08-22",70887,0,0,0,0
"2015-08-23",70887,0,0,0,0
"2015-08-24",70887,0,0,0,0
"2015-08-25",70887,0,0,0,0
"2015-08-26",70887,0,0,0,0
"2015-08-27",70887,0,0,0,0
"2015-08-28",70887,0,0,0,0
"2015-08-29",70887,0,0,0,0
"2015-08-30",70887,0,0,0,0
"2015-08-31",70887,0,0,0,0
"2015-09-01",70887,0,0,0,0
"2015-09-02",70887,0,0,0,0
"2015-09-03",70887,0,0,0,0
"2015-09-04",70887,0,0,0,0
"2015-09-05",70887,0,0,0,0
"2015-09-06",70887,0,0,0,0
"2015-09-07",70887,0,0,0,0
"2015-09-08",70887,0,0,0,0
"2015-09-09",70887,0,0,0,0
"2015-09-10",70887,0,0,0,0
"2015-09-11",70887,0,0,0,0
"2015-09-12",70887,0,0,0,0
"2015-09-13",70887,0,0,0,0
"2015-09-14",70887,0,0,0,0
"2015-09-15",70887,0,0,0,0
"2015-09-16",70887,0,0,0,0
"2015-09-17",70887,0,0,0,0
"2015-09-18",70887,0,0,0,0
"2015-09-19",70887,0,0,0,0
"2015-09-20",70887,0,0,0,0
"2015-09-21",70887,0,0,0,0
"2015-09-22",70887,0,0,0,0
"2015-09-23",70887,0,0,0,0
"2015-09-24",70887,0,0,0,0
"2015-09-25",70887,0,0,0,0
"2015-09-26",70887,0,0,0,0
"2015-09-27",70887,0,0,0,0
"2015-09-28",70887,0,0,0,0
"2015-09-29",70887,0,0,0,0
"2015-09-30",70887,0,0,0,0
"2015-10-01",70887,0,0,0,0
"2015-10-02",70887,0,0,0,0
"2015-10-03",70887,0,0,0,0
"2015-10-04",70887,0,0,0,0
"2015-10-05",70887,0,0,0,0
"2015-10-06",70887,0,0,0,0
"2015-10-07",70887,0,0,0,0
"2015-10-08",70887,0,0,0,0
"2015-10-09",70887,0,0,0,0
"2015-10-10",70887,0,0,0,0
"2015-10-11",70887,0,0,0,0
"2015-10-12",70887,0,0,0,0
"2015-10-13",70887,0,0,0,0
"2015-10-14",70887,0,0,0,0
"2015-10-15",70887,0,0,0,0
"2015-10-16",70887,0,0,0,0
"2015-10-17",70887,0,0,0,0
"2015-10-18",70887,0,0,0,0
"2015-10-19",70887,0,0,0,0
"2015-10-20",70887,0,0,0,0
"2015-10-21",70887,0,0,0,0
"2015-10-22",70887,0,0,0,0
"2015-10-23",70887,0,0,0,0
"2015-10-24",70887,0,0,0,0
"2015-10-25",70887,0,0,0,0
"2015-10-26",70887,0,0,0,0
"2015-10-27",70887,0,0,0,0
"2015-10-28",70887,0,0,0,0
"2015-10-29",70887,0,0,0,0
"2015-10-30",70887,0,0,0,0
"2015-10-31",70887,0,0,0,0
"2015-11-01",70887,0,0,0,0
"2015-11-02",70887,0,0,0,0
"2015-11-03",70887,0,0,0,0
"2015-11-04",70887,0,0,0,0
"2015-11-05",70887,0,0,0,0
"2015-11-06",70887,0,0,0,0
"2015-11-07",70887,0,0,0,0
"2015-11-08",70887,0,0,0,0
"2015-11-09",70887,0,0,0,0
"2015-11-10",70887,0,0,0,0
"2015-11-11",70887,0,0,0,0
"2015-11-12",70887,0,0,0,0
"2015-11-13",70887,0,0,0,0
"2015-11-14",70887,0,0,0,0
"2015-11-15",70887,0,0,0,0
"2015-11-16",70887,0,0,0,0
"2015-11-17",70887,0,0,0,0
"2015-11-18",70887,0,0,0,0
"2015-11-19",70887,0,0,0,0
"2015-11-20",70887,0,0,0,0
"2015-11-21",70887,0,0,0,0
"2015-11-22",70887,0,0,0,0
"2015-11-23",70887,0,0,0,0
"2015-11-24",70887,0,0,0,0
"2015-11-25",70887,0,0,0,0
"2015-11-26",70887,0,0,0,0
"2015-11-27",70887,0,0,0,0
"2015-11-28",70887,0,0,0,0
"2015-11-29",70887,0,0,0,0
"2015-11-30",70887,0,0,0,0
"2015-12-01",70887,0,0,0,0
"2015-12-02",70887,0,0,0,0
"2015-12-03",70887,0,0,0,0
"2015-12-04",70887,0,0,0,0
"2015-12-05",70887,0,0,0,0
"2015-12-06",70887,0,0,0,0
"2015-12-07",70887,0,0,0,0
"2015-12-08",70887,0,0,0,0
"2015-12-09",70887,0,0,0,0
"2015-12-10",70887,0,0,0,0
"2015-12-11",70887,0,0,0,0
"2015-12-12",70887,0,0,0,0
"2015-12-13",70887,0,0,0,0
"2015-12-14",70887,0,0,0,0
"2015-12-15",70887,0,0,0,0
"2015-12-16",70887,0,0,0,0
"2015-12-17",70887,0,0,0,0
"2015-12-18",70887,0,0,0,0
"2015-12-19",70887,0,0,0,0
"2015-12-20",70887,0,0,0,0
"2015-12-21",70887,0,0,0,0
"2015-12-22",70887,0,0,0,0
"2015-12-23",70887,0,0,0,0
"2015-12-24",70887,0,0,0,0
"2015-12-25",70887,0,0,0,0
"2015-12-26",70887,0,0,0,0
"2015-12-27",70887,0,0,0,0
"2015-12-28",70887,0,0,0,0
"2015-12-29",70887,0,0,0,0
"2015-12-30",70887,0,0,0,0
"2015-12-31",70887,0,0,0,0
"2016-01-01",70887,0,0,0,0
"2016-01-02",70887,0,0,0,0
"2016-01-03",70887,0,0,0,0
"2016-01-04",70887,0,0,0,0
"2016-01-05",70887,0,0,0,0
"2016-01-06",70887,0,0,0,0
"2016-01-07",70887,0,0,0,0
"2016-01-08",70887,0,0,0,0
"2016-01-09",70887,0,0,0,0
"2016-01-10",70887,0,0,0,0
"2016-01-11",70887,0,0,0,0
"2016-01-12",70887,0,0,0,0
"2016-01-13",70887,0,0,0,0
"2016-01-14",70887,0,0,0,0
"2016-01-15",70887,0,0,0,0
"2016-01-16",70887,0,0,0,0
"2016-01-17",70887,0,0,0,0
"2016-01-18",70887,0,0,0,0
"2016-01-19",70887,0,0,0,0
"2016-01-20",70887,0,0,0,0
"2016-01-21",70887,0,0,0,0
"2016-01-22",70887,0,0,0,0
"2016-01-23",70887,0,0,0,0
"2016-01-24",70887,0,0,0,0
"2016-01-25",70887,0,0,0,0
"2016-01-26",70887,0,0,0,0
"2016-01-27",70887,0,0,0,0
"2016-01-28",70887,0,0,0,0
"2016-01-29",70887,0,0,0,0
"2016-01-30",70887,0,0,0,0
"2016-01-31",70887,0,0,0,0
"2016-02-01",70887,0,0,0,0
"2016-02-02",70887,0,0,0,0
"2016-02-03",70887,0,0,0,0
"2016-02-04",70887,0,0,0,0
"2016-02-05",70887,0,0,0,0
"2016-02-06",70887,0,0,0,0
"2016-02-07",70887,0,0,0,0
"2016-02-08",70887,0,0,0,0
"2016-02-09",70887,0,0,0,0
"2016-02-10",70887,0,0,0,0
"2016-02-11",70887,0,0,0,0
"2016-02-12",70887,0,0,0,0
"2016-02-13",70887,0,0,0,0
"2016-02-14",70887,0,0,0,0
"2016-02-15",70887,0,0,0,0
"2016-02-16",70887,0,0,0,0
"2016-02-17",70887,0,0,0,0
"2016-02-18",70887,0,0,0,0
"2016-02-19",70887,0,0,0,0
"2016-02-20",70887,0,0,0,0
"2016-02-21",70887,0,0,0,0
"2016-02-22",70887,0,0,0,0
"2016-02-23",70887,0,0,0,0
"2016-02-24",70887,0,0,0,0
"2016-02-25",70887,0,0,0,0
"2016-02-26",70887,0,0,0,0
"2016-02-27",70887,0,0,0,0
"2016-02-28",70887,0,0,0,0
"2016-02-29",70887,0,0,0,0
"2016-03-01",70887,0,0,0,0
"2016-03-02",70887,0,0,0,0
"2016-03-03",70887,0,0,0,0
"2016-03-04",70887,0,0,0,0
"2016-03-05",70887,0,0,0,0
"2016-03-06",70887,0,0,0,0
"2016-03-07",70887,0,0,0,0
"2016-03-08",70887,0,0,0,0
"2016-03-09",70887,0,0,0,0
"2016-03-10",70887,0,0,0,0
"2016-03-11",70887,0,0,0,0
"2016-03-12",70887,0,0,0,0
"2016-03-13",70887,0,0,0,0
"2016-03-14",70887,0,0,0,0
"2016-03-15",70887,0,0,0,0
"2016-03-16",70887,0,0,0,0
"2016-03-17",70887,0,0,0,0
"2016-03-18",70887,0,0,0,0
"2016-03-19",70887,0,0,0,0
"2016-03-20",70887,0,0,0,0
"2016-03-21",70887,0,0,0,0
"2016-03-22",70887,0,0,0,0
"2016-03-23",70887,0,0,0,0
"2016-03-24",70887,0,0,0,0
"2016-03-25",70887,0,0,0,0
"2016-03-26",70887,0,0,0,0
"2016-03-27",70887,0,0,0,0
"2016-03-28",70887,0,0,0,0
"2016-03-29",70887,0,0,0,0
"2016-03-30",70887,0,0,0,0
"2016-03-31",70887,0,0,0,0
"2016-04-01",70887,0,0,0,0
"2016-04-02",70887,0,0,0,0
"2016-04-03",70887,0,0,0,0
"2016-04-04",70887,0,0,0,0
"2016-04-05",70887,0,0,0,0
"2016-04-06",70887,0,0,0,0
"2016-04-07",70887,0,0,0,0
"2016-04-08",70887,0,0,0,0
"2016-04-09",70887,0,0,0,0
"2016-04-10",70887,0,0,0,0
"2016-04-11",70887,0,0,0,0
"2016-04-12",70887,0,0,0,0
"2016-04-13",70887,0,0,0,0
"2016-04-14",70887,0,0,0,0
"2016-04-15",70887,0,0,0,0
"2016-04-16",70887,0,0,0,0
"2016-04-17",70887,0,0,0,0
"2016-04-18",70887,0,0,0,0
"2016-04-19",70887,0,0,0,0
"2016-04-20",70887,0,0,0,0
"2016-04-21",70887,0,0,0,0
"2016-04-22",70887,0,0,0,0
"2016-04-23",70887,0,0,0,0
"2016-04-24",70887,0,0,0,0
"2016-04-25",70887,0,0,0,0
"2016-04-26",70887,0,0,0,0
"2016-04-27",70887,0,0,0,0
"2016-04-28",70887,0,0,0,0
"2016-04-29",70887,0,0,0,0
"2016-04-30",70887,0,0,0,0
"2016-05-01",70887,0,0,0,0
"2016-05-02",70887,0,0,0,0
"2016-05-03",70887,0,0,0,0
"2016-05-04",70887,0,0,0,0
"2016-05-05",70887,0,0,0,0
"2016-05-06",70887,0,0,0,0
"2016-05-07",70887,0,0,0,0
"2016-05-08",70887,0,0,0,0
"2016-05-09",70887,0,0,0,0
"2016-05-10",70887,0,0,0,0
"2016-05-11",70887,0,0,0,0
"2016-05-12",70887,0,0,0,0
"2016-05-13",70887,0,0,0,0
"2016-05-14",70887,0,0,0,0
"2016-05-15",70887,0,0,0,0
"2016-05-16",70887,0,0,0,0
"2016-05-17",70887,0,0,0,0
"2016-05-18",70887,0,0,0,0
"2016-05-19",70887,0,0,0,0
"2016-05-20",70887,0,0,0,0
"2016-05-21",70887,0,0,0,0
"2016-05-22",70887,0,0,0,0
"2016-05-23",70887,0,0,0,0
"2016-05-24",70887,0,0,0,0
"2016-05-25",70887,0,0,0,0
"2016-05-26",70887,0,0,0,0
"2016-05-27",70887,0,0,0,0
"2016-05-28",70887,0,0,0,0
"2016-05-29",70887,0,0,0,0
"2016-05-30",70887,0,0,0,0
"2016-05-31",70887,0,0,0,0
"2016-06-01",70887,0,0,0,0
"2016-06-02",70887,0,0,0,0
"2016-06-03",70887,0,0,0,0
"2016-06-04",70887,0,0,0,0
"2016-06-05",70887,0,0,0,0
"2016-06-06",70887,0,0,0,0
"2016-06-07",70887,0,0,0,0
"2016-06-08",70887,0,0,0,0
"2016-06-09",70887,0,0,0,0
"2016-06-10",70887,0,0,0,0
"2016-06-11",70887,0,0,0,0
"2016-06-12",70887,0,0,0,0
"2016-06-13",70887,0,0,0,0
"2016-06-14",70887,0,0,0,0
"2016-06-15",70887,0,0,0,0
"2016-06-16",70887,0,0,0,0
"2016-06-17",70887,0,0,0,0
"2016-06-18",70887,0,0,0,0
"2016-06-19",70887,0,0,0,0
"2016-06-20",70887,0,0,0,0
"2016-06-21",70887,0,0,0,0
"2016-06-22",70887,0,0,0,0
"2016-06-23",70887,0,0,0,0
"2016-06-24",70887,0,0,0,0
"2016-06-25",70887,0,0,0,0
"2016-06-26",70887,0,0,0,0
"2016-06-27",70887,0,0,0,0
"2016-06-28",70887,0,0,0,0
"2016-06-29",70887,0,0,0,0
"2016-06-30",70887,0,0,0,0
"2016-07-01",70887,0,0,0,0
"2016-07-02",70887,0,0,0,0
"2016-07-03",70887,0,0,0,0
"2016-07-04",70887,0,0,0,0
"2016-07-05",70887,0,0,0,0
"2016-07-06",70887,0,0,0,0
"2016-07-07",70887,0,0,0,0
"2016-07-08",70887,0,0,0,0
"2016-07-09",70887,0,0,0,0
"2016-07-10",70887,0,0,0,0
"2016-07-11",70887,0,0,0,0
"2016-07-12",70887,0,0,0,0
"2016-07-13",70887,0,0,0,0
"2016-07-14",70887,0,0,0,0
"2016-07-15",70887,0,0,0,0
"2016-07-16",70887,0,0,0,0
"2016-07-17",70887,0,0,0,0
"2016-07-18",70887,0,0,0,0
"2016-07-19",70887,0,0,0,0
"2016-07-20",70887,0,0,0,0
"2016-07-21",70887,0,0,0,0
"2016-07-22",70887,0,0,0,0
"2016-07-23",70887,0,0,0,0
"2016-07-24",70887,0,0,0,0
"2016-07-25",70887,0,0,0,0
"2016-07-26",70887,0,0,0,0
"2016-07-27",70887,0,0,0,0
"2016-07-28",70887,0,0,0,0
"2016-07-29",70887,0,0,0,0
"2016-07-30",70887,0,0,0,0
"2016-07-31",70887,0,0,0,0
"2016-08-01",70887,0,0,0,0
"2016-08-02",70887,0,0,0,0
"2016-08-03",70887,0,0,0,0
"2016-08-04",70887,0,0,0,0
"2016-08-05",70887,0,0,0,0
"2016-08-06",70887,0,0,0,0
"2016-08-07",70887,0,0,0,0
"2016-08-08",70887,0,0,0,0
"2016-08-09",70744,0,0,0,0
"2016-08-10",70744,0,0,0,0
"2016-08-11",70744,0,0,0,0
"2016-08-12",70744,0,0,0,0
"2016-08-13",70744,0,0,0,0
"2016-08-14",70744,0,0,0,0
"2016-08-15",70744,0,0,0,0
"2016-08-16",70744,0,0,0,0
"2016-08-17",70744,0,0,0,0
"2016-08-18",70744,0,0,0,0
"2016-08-19",70744,0,0,0,0
"2016-08-20",70744,0,0,0,0
"2016-08-21",70744,0,0,0,0
"2016-08-22",70744,0,0,0,0
"2016-08-23",70744,0,0,0,0
"2016-08-24",70744,0,0,0,0
"2016-08-25",70744,0,0,0,0
"2016-08-26",70744,0,0,0,0
"2016-08-27",70744,0,0,0,0
"2016-08-28",70744,0,0,0,0
"2016-08-29",70744,0,0,0,0
"2016-08-30",70744,0,0,0,0
"2016-08-31",70744,0,0,0,0
"2016-09-01",70744,0,0,0,0
"2016-09-02",70744,0,0,0,0
"2016-09-03",70744,0,0,0,0
"2016-09-04",70744,0,0,0,0
"2016-09-05",70744,0,0,0,0
"2016-09-06",70744,0,0,0,0
"2016-09-07",70744,0,0,0,0
"2016-09-08",70744,0,0,0,0
"2016-09-09",70744,0,0,0,0
"2016-09-10",70744,0,0,0,0
"2016-09-11",70744,0,0,0,0
"2016-09-12",70744,0,0,0,0
"2016-09-13",70744,0,0,0,0
"2016-09-14",70744,0,0,0,0
"2016-09-15",70744,0,0,0,0
"2016-09-16",70744,0,0,0,0
"2016-09-17",70744,0,0,0,0
"2016-09-18",70744,0,0,0,0
"2016-09-19",70744,0,0,0,0
"2016-09-20",70744,0,0,0,0
"2016-09-21",70744,0,0,0,0
"2016-09-22",70744,0,0,0,0
"2016-09-23",70744,0,0,0,0
"2016-09-24",70744,0,0,0,0
"2016-09-25",70744,0,0,0,0
"2016-09-26",70744,0,0,0,0
"2016-09-27",70744,0,0,0,0
"2016-09-28",70744,0,0,0,0
"2016-09-29",70744,0,0,0,0
"2016-09-30",70744,0,0,0,0
"2016-10-01",70744,0,0,0,0
"2016-10-02",70744,0,0,0,0
"2016-10-03",70744,0,0,0,0
"2016-10-04",70744,0,0,0,0
"2016-10-05",70744,0,0,0,0
"2016-10-06",70744,0,0,0,0
"2016-10-07",70744,0,0,0,0
"2016-10-08",70744,0,0,0,0
"2016-10-09",70744,0,0,0,0
"2016-10-10",70744,0,0,0,0
"2016-10-11",70744,0,0,0,0
"2016-10-12",70744,0,0,0,0
"2016-10-13",70744,0,0,0,0
"2016-10-14",70744,0,0,0,0
"2016-10-15",70744,0,0,0,0
"2016-10-16",70744,0,0,0,0
"2016-10-17",70744,0,0,0,0
"2016-10-18",70744,0,0,0,0
"2016-10-19",70744,0,0,0,0
"2016-10-20",70744,0,0,0,0
"2016-10-21",70744,0,0,0,0
"2016-10-22",70744,0,0,0,0
"2016-10-23",70744,0,0,0,0
"2016-10-24",70744,0,0,0,0
"2016-10-25",70744,0,0,0,0
"2016-10-26",70744,0,0,0,0
"2016-10-27",70744,0,0,0,0
"2016-10-28",70744,0,0,0,0
"2016-10-29",70744,0,0,0,0
"2016-10-30",70744,0,0,0,0
"2016-10-31",70744,0,0,0,0
"2016-11-01",70744,0,0,0,0
"2016-11-02",70744,0,0,0,0
"2016-11-03",70744,0,0,0,0
"2016-11-04",70744,0,0,0,0
"2016-11-05",70744,0,0,0,0
"2016-11-06",70744,0,0,0,0
"2016-11-07",70744,0,0,0,0
"2016-11-08",70744,0,0,0,0
"2016-11-09",70744,0,0,0,0
"2016-11-10",70744,0,0,0,0
"2016-11-11",70744,0,0,0,0
"2016-11-12",70744,0,0,0,0
"2016-11-13",70744,0,0,0,0
"2016-11-14",70744,0,0,0,0
"2016-11-15",70744,0,0,0,0
"2016-11-16",70744,0,0,0,0
"2016-11-17",70744,0,0,0,0
"2016-11-18",70744,0,0,0,0
"2016-11-19",70744,0,0,0,0
"2016-11-20",70744,0,0,0,0
"2016-11-21",70744,0,0,0,0
"2016-11-22",70744,0,0,0,0
"2016-11-23",70744,0,0,0,0
"2016-11-24",70744,0,0,0,0
"2016-11-25",70744,0,0,0,0
"2016-11-26",70744,0,0,0,0
"2016-11-27",70744,0,0,0,0
"2016-11-28",70744,0,0,0,0
"2016-11-29",70744,0,0,0,0
"2016-11-30",70744,0,0,0,0
"2016-12-01",70744,0,0,0,0
"2016-12-02",70744,0,0,0,0
"2016-12-03",70744,0,0,0,0
"2016-12-04",70744,0,0,0,0
"2016-12-05",70744,0,0,0,0
"2016-12-06",70744,0,0,0,0
"2016-12-07",70744,0,0,0,0
"2016-12-08",70744,0,0,0,0
"2016-12-09",70744,0,0,0,0
"2016-12-10",70744,0,0,0,0
"2016-12-11",70744,0,0,0,0
"2016-12-12",70744,0,0,0,0
"2016-12-13",70744,0,0,0,0
"2016-12-14",70744,0,0,0,0
"2016-12-15",70744,0,0,0,0
"2016-12-16",70744,0,0,0,0
"2016-12-17",70744,0,0,0,0
"2016-12-18",70744,0,0,0,0
"2016-12-19",70744,0,0,0,0
"2016-12-20",70744,0,0,0,0
"2016-12-21",70744,0,0,0,0
"2016-12-22",70744,0,0,0,0
"2016-12-23",70744,0,0,0,0
"2016-12-24",70744,0,0,0,0
"2016-12-25",70744,0,0,0,0
"2016-12-26",70744,0,0,0,0
"2016-12-27",70744,0,0,0,0
"2016-12-28",70744,0,0,0,0
"2016-12-29",70744,0,0,0,0
"2016-12-30",70744,0,0,0,0
"2016-12-31",70744,0,0,0,0
"2017-01-01",70744,0,0,0,0
"2017-01-02",70744,0,0,0,0
"2017-01-03",70744,0,0,0,0
"2017-01-04",70744,0,0,0,0
"2017-01-05",70744,0,0,0,0
"2017-01-06",70744,0,0,0,0
"2017-01-07",70744,0,0,0,0
"2017-01-08",70744,0,0,0,0
"2017-01-09",70744,0,0,0,0
"2017-01-10",70744,0,0,0,0
"2017-01-11",70744,0,0,0,0
"2017-01-12",70744,0,0,0,0
"2017-01-13",70744,0,0,0,0
"2017-01-14",70744,0,0,0,0
"2017-01-15",70744,0,0,0,0
"2017-01-16",70744,0,0,0,0
"2017-01-17",70744,0,0,0,0
"2017-01-18",70744,0,0,0,0
"2017-01-19",70744,0,0,0,0
"2017-01-20",70744,0,0,0,0
"2017-01-21",70744,0,0,0,0
"2017-01-22",70744,0,0,0,0
"2017-01-23",70744,0,0,0,0
"2017-01-24",70744,0,0,0,0
"2017-01-25",70744,0,0,0,0
"2017-01-26",70744,0,0,0,0
"2017-01-27",70744,0,0,0,0
"2017-01-28",70744,0,0,0,0
"2017-01-29",70744,0,0,0,0
"2017-01-30",70744,0,0,0,0
"2017-01-31",70744,0,0,0,0
"2017-02-01",70744,0,0,0,0
"2017-02-02",70744,0,0,0,0
"2017-02-03",70744,0,0,0,0
"2017-02-04",70744,0,0,0,0
"2017-02-05",70744,0,0,0,0
"2017-02-06",70744,0,0,0,0
"2017-02-07",70744,0,0,0,0
"2017-02-08",70744,0,0,0,0
"2017-02-09",70744,0,0,0,0
"2017-02-10",70744,0,0,0,0
"2017-02-11",70744,0,0,0,0
"2017-02-12",70744,0,0,0,0
"2017-02-13",70744,0,0,0,0
"2017-02-14",70744,0,0,0,0
"2017-02-15",70744,0,0,0,0
"2017-02-16",70744,0,0,0,0
"2017-02-17",70744,0,0,0,0
"2017-02-18",70744,0,0,0,0
"2017-02-19",70744,0,0,0,0
"2017-02-20",70744,0,0,0,0
"2017-02-21",70744,0,0,0,0
"2017-02-22",70744,0,0,0,0
"2017-02-23",70744,0,0,0,0
"2017-02-24",70744,0,0,0,0
"2017-02-25",70744,0,0,0,0
"2017-02-26",70744,0,0,0,0
"2017-02-27",70744,0,0,0,0
"2017-02-28",70744,0,0,0,0
"2017-03-01",70744,0,0,0,0
"2017-03-02",70744,0,0,0,0
"2017-03-03",70744,0,0,0,0
"2017-03-04",70744,0,0,0,0
"2017-03-05",70744,0,0,0,0
"2017-03-06",70744,0,0,0,0
"2017-03-07",70744,0,0,0,0
"2017-03-08",70744,0,0,0,0
"2017-03-09",70744,0,0,0,0
"2017-03-10",70744,0,0,0,0
"2017-03-11",70744,0,0,0,0
"2017-03-12",70744,0,0,0,0
"2017-03-13",70744,0,0,0,0
"2017-03-14",70744,0,0,0,0
"2017-03-15",70744,0,0,0,0
"2017-03-16",70744,0,0,0,0
"2017-03-17",70744,0,0,0,0
"2017-03-18",70744,0,0,0,0
"2017-03-19",70744,0,0,0,0
"2017-03-20",70744,0,0,0,0
"2017-03-21",70744,0,0,0,0
"2017-03-22",70744,0,0,0,0
"2017-03-23",70744,0,0,0,0
"2017-03-24",70744,0,0,0,0
"2017-03-25",70744,0,0,0,0
"2017-03-26",70744,0,0,0,0
"2017-03-27",70744,0,0,0,0
"2017-03-28",70744,0,0,0,0
"2017-03-29",70744,0,0,0,0
"2017-03-30",70744,0,0,0,0
"2017-03-31",70744,0,0,0,0
"2017-04-01",70744,0,0,0,0
"2017-04-02",70744,0,0,0,0
"2017-04-03",70744,0,0,0,0
"2017-04-04",70744,0,0,0,0
"2017-04-05",70744,0,0,0,0
"2017-04-06",70744,0,0,0,0
"2017-04-07",70744,0,0,0,0
"2017-04-08",70744,0,0,0,0
"2017-04-09",70744,0,0,0,0
"2017-04-10",70744,0,0,0,0
"2017-04-11",70744,0,0,0,0
"2017-04-12",70744,0,0,0,0
"2017-04-13",70744,0,0,0,0
"2017-04-14",70744,0,0,0,0
"2017-04-15",70744,0,0,0,0
"2017-04-16",70744,0,0,0,0
"2017-04-17",70744,0,0,0,0
"2017-04-18",70744,0,0,0,0
"2017-04-19",70744,0,0,0,0
"2017-04-20",70744,0,0,0,0
"2017-04-21",70744,0,0,0,0
"2017-04-22",70744,0,0,0,0
"2017-04-23",70744,0,0,0,0
"2017-04-24",70744,0,0,0,0
"2017-04-25",70744,0,0,0,0
"2017-04-26",70744,0,0,0,0
"2017-04-27",70744,0,0,0,0
"2017-04-28",70744,0,0,0,0
"2017-04-29",70744,0,0,0,0
"2017-04-30",70744,0,0,0,0
"2017-05-01",70744,0,0,0,0
"2017-05-02",70744,0,0,0,0
"2017-05-03",70744,0,0,0,0
"2017-05-04",70744,0,0,0,0
"2017-05-05",70744,0,0,0,0
"2017-05-06",70744,0,0,0,0
"2017-05-07",70744,0,0,0,0
"2017-05-08",70744,0,0,0,0
"2017-05-09",70744,0,0,0,0
"2017-05-10",70744,0,0,0,0
"2017-05-11",70744,0,0,0,0
"2017-05-12",70744,0,0,0,0
