"Index","EquityEOD","Leverage","EquityAtStartOfPeriod","SumValueOfPositionsAtTime","Lvrg_SMA7"
"2015-03-13",18294,0,0,0,0
"2015-03-14",18294,0,0,0,0
"2015-03-15",18294,0,0,0,0
"2015-03-16",18294,0,0,0,0
"2015-03-17",18294,0,0,0,0
"2015-03-18",18294,0,0,0,0
"2015-03-19",18294,0,0,0,0
"2015-03-20",18294,0,0,0,0
"2015-03-21",18294,0,0,0,0
"2015-03-22",18294,0,0,0,0
"2015-03-23",18294,0,0,0,0
"2015-03-24",18294,0,0,0,0
"2015-03-25",18294,0,0,0,0
"2015-03-26",18294,0,0,0,0
"2015-03-27",18294,0,0,0,0
"2015-03-28",18294,0,0,0,0
"2015-03-29",18294,0,0,0,0
"2015-03-30",18294,0,0,0,0
"2015-03-31",18294,0,0,0,0
"2015-04-01",18294,0,0,0,0
"2015-04-02",18294,0,0,0,0
"2015-04-03",18294,0,0,0,0
"2015-04-04",18294,0,0,0,0
"2015-04-05",18294,0,0,0,0
"2015-04-06",18294,0,0,0,0
"2015-04-07",18294,0,0,0,0
"2015-04-08",18294,0,0,0,0
"2015-04-09",18294,0,0,0,0
"2015-04-10",18294,0,0,0,0
"2015-04-11",18294,0,0,0,0
"2015-04-12",18294,0,0,0,0
"2015-04-13",18294,0,0,0,0
"2015-04-14",18294,0,0,0,0
"2015-04-15",18294,0,0,0,0
"2015-04-16",18294,0,0,0,0
"2015-04-17",18294,0,0,0,0
"2015-04-18",18294,0,0,0,0
"2015-04-19",18294,0,0,0,0
"2015-04-20",18294,0,0,0,0
"2015-04-21",18294,0,0,0,0
"2015-04-22",18294,0,0,0,0
"2015-04-23",18294,0,0,0,0
"2015-04-24",18294,0,0,0,0
"2015-04-25",18294,0,0,0,0
"2015-04-26",18294,0,0,0,0
"2015-04-27",18294,0,0,0,0
"2015-04-28",18294,0,0,0,0
"2015-04-29",18294,0,0,0,0
"2015-04-30",18294,0,0,0,0
"2015-05-01",18294,0,0,0,0
"2015-05-02",18294,0,0,0,0
"2015-05-03",18294,0,0,0,0
"2015-05-04",18294,0,0,0,0
"2015-05-05",18294,0,0,0,0
"2015-05-06",18294,0,0,0,0
"2015-05-07",18294,0,0,0,0
"2015-05-08",18294,0,0,0,0
"2015-05-09",18294,0,0,0,0
"2015-05-10",18294,0,0,0,0
"2015-05-11",18294,0,0,0,0
"2015-05-12",18294,0,0,0,0
"2015-05-13",18294,0,0,0,0
"2015-05-14",18294,0,0,0,0
"2015-05-15",18294,0,0,0,0
"2015-05-16",18294,0,0,0,0
"2015-05-17",18294,0,0,0,0
"2015-05-18",18294,0,0,0,0
"2015-05-19",18294,0,0,0,0
"2015-05-20",18294,0,0,0,0
"2015-05-21",18294,0,0,0,0
"2015-05-22",18294,0,0,0,0
"2015-05-23",18294,0,0,0,0
"2015-05-24",18294,0,0,0,0
"2015-05-25",18294,0,0,0,0
"2015-05-26",18294,0,0,0,0
"2015-05-27",18294,0,0,0,0
"2015-05-28",18294,0,0,0,0
"2015-05-29",18294,0,0,0,0
"2015-05-30",18294,0,0,0,0
"2015-05-31",18294,0,0,0,0
"2015-06-01",18294,0,0,0,0
"2015-06-02",18294,0,0,0,0
"2015-06-03",18294,0,0,0,0
"2015-06-04",18294,0,0,0,0
"2015-06-05",18294,0,0,0,0
"2015-06-06",18294,0,0,0,0
"2015-06-07",18294,0,0,0,0
"2015-06-08",18294,0,0,0,0
"2015-06-09",18294,0,0,0,0
"2015-06-10",18294,0,0,0,0
"2015-06-11",18294,0,0,0,0
"2015-06-12",18294,0,0,0,0
"2015-06-13",18294,0,0,0,0
"2015-06-14",18294,0,0,0,0
"2015-06-15",18294,0,0,0,0
"2015-06-16",18294,0,0,0,0
"2015-06-17",18294,0,0,0,0
"2015-06-18",18294,0,0,0,0
"2015-06-19",18294,0,0,0,0
"2015-06-20",18294,0,0,0,0
"2015-06-21",18294,0,0,0,0
"2015-06-22",18294,0,0,0,0
"2015-06-23",18294,0,0,0,0
"2015-06-24",18294,0,0,0,0
"2015-06-25",18294,0,0,0,0
"2015-06-26",18294,0,0,0,0
"2015-06-27",18294,0,0,0,0
"2015-06-28",18294,0,0,0,0
"2015-06-29",18294,0,0,0,0
"2015-06-30",18294,0,0,0,0
"2015-07-01",18294,0,0,0,0
"2015-07-02",18294,0,0,0,0
"2015-07-03",18294,0,0,0,0
"2015-07-04",18294,0,0,0,0
"2015-07-05",18294,0,0,0,0
"2015-07-06",18294,0,0,0,0
"2015-07-07",18294,0,0,0,0
"2015-07-08",18294,0,0,0,0
"2015-07-09",18294,0,0,0,0
"2015-07-10",18294,0,0,0,0
"2015-07-11",18294,0,0,0,0
"2015-07-12",18294,0,0,0,0
"2015-07-13",18294,0,0,0,0
"2015-07-14",18294,0,0,0,0
"2015-07-15",18294,0,0,0,0
"2015-07-16",18294,0,0,0,0
"2015-07-17",18294,0,0,0,0
"2015-07-18",18294,0,0,0,0
"2015-07-19",18294,0,0,0,0
"2015-07-20",18294,0,0,0,0
"2015-07-21",18294,0,0,0,0
"2015-07-22",18294,0,0,0,0
"2015-07-23",18294,0,0,0,0
"2015-07-24",18294,0,0,0,0
"2015-07-25",18294,0,0,0,0
"2015-07-26",18294,0,0,0,0
"2015-07-27",18294,0,0,0,0
"2015-07-28",18294,0,0,0,0
"2015-07-29",18294,0,0,0,0
"2015-07-30",18294,0,0,0,0
"2015-07-31",18294,0,0,0,0
"2015-08-01",18294,0,0,0,0
"2015-08-02",18294,0,0,0,0
"2015-08-03",18294,0,0,0,0
"2015-08-04",18294,0,0,0,0
"2015-08-05",18294,0,0,0,0
"2015-08-06",18294,0,0,0,0
"2015-08-07",18294,0,0,0,0
"2015-08-08",18294,0,0,0,0
"2015-08-09",18294,0,0,0,0
"2015-08-10",18294,0,0,0,0
"2015-08-11",18294,0,0,0,0
"2015-08-12",18294,0,0,0,0
"2015-08-13",18294,0,0,0,0
"2015-08-14",18294,0,0,0,0
"2015-08-15",18294,0,0,0,0
"2015-08-16",18294,0,0,0,0
"2015-08-17",18294,0,0,0,0
"2015-08-18",18294,0,0,0,0
"2015-08-19",18294,0,0,0,0
"2015-08-20",18294,0,0,0,0
"2015-08-21",18294,0,0,0,0
"2015-08-22",18294,0,0,0,0
"2015-08-23",18294,0,0,0,0
"2015-08-24",18294,0,0,0,0
"2015-08-25",18294,0,0,0,0
"2015-08-26",18294,0,0,0,0
"2015-08-27",18294,0,0,0,0
"2015-08-28",18294,0,0,0,0
"2015-08-29",18294,0,0,0,0
"2015-08-30",18294,0,0,0,0
"2015-08-31",18294,0,0,0,0
"2015-09-01",18294,0,0,0,0
"2015-09-02",18294,0,0,0,0
"2015-09-03",18294,0,0,0,0
"2015-09-04",18294,0,0,0,0
"2015-09-05",18294,0,0,0,0
"2015-09-06",18294,0,0,0,0
"2015-09-07",18294,0,0,0,0
"2015-09-08",18294,0,0,0,0
"2015-09-09",18294,0,0,0,0
"2015-09-10",18294,0,0,0,0
"2015-09-11",18294,0,0,0,0
"2015-09-12",18294,0,0,0,0
"2015-09-13",18294,0,0,0,0
"2015-09-14",18294,0,0,0,0
"2015-09-15",18294,0,0,0,0
"2015-09-16",18294,0,0,0,0
"2015-09-17",18294,0,0,0,0
"2015-09-18",18294,0,0,0,0
"2015-09-19",18294,0,0,0,0
"2015-09-20",18294,0,0,0,0
"2015-09-21",18294,0,0,0,0
"2015-09-22",18294,0,0,0,0
"2015-09-23",18294,0,0,0,0
"2015-09-24",18294,0,0,0,0
"2015-09-25",18294,0,0,0,0
"2015-09-26",18294,0,0,0,0
"2015-09-27",18294,0,0,0,0
"2015-09-28",18294,0,0,0,0
"2015-09-29",18294,0,0,0,0
"2015-09-30",18294,0,0,0,0
"2015-10-01",18294,0,0,0,0
"2015-10-02",18294,0,0,0,0
"2015-10-03",18294,0,0,0,0
"2015-10-04",18294,0,0,0,0
"2015-10-05",18294,0,0,0,0
"2015-10-06",18294,0,0,0,0
"2015-10-07",18294,0,0,0,0
"2015-10-08",18294,0,0,0,0
"2015-10-09",18294,0,0,0,0
"2015-10-10",18294,0,0,0,0
"2015-10-11",18294,0,0,0,0
"2015-10-12",18294,0,0,0,0
"2015-10-13",18294,0,0,0,0
"2015-10-14",18294,0,0,0,0
"2015-10-15",18294,0,0,0,0
"2015-10-16",18294,0,0,0,0
"2015-10-17",18294,0,0,0,0
"2015-10-18",18294,0,0,0,0
"2015-10-19",18294,0,0,0,0
"2015-10-20",18294,0,0,0,0
"2015-10-21",18294,0,0,0,0
"2015-10-22",18294,0,0,0,0
"2015-10-23",18294,0,0,0,0
"2015-10-24",18294,0,0,0,0
"2015-10-25",18294,0,0,0,0
"2015-10-26",18294,0,0,0,0
"2015-10-27",18294,0,0,0,0
"2015-10-28",18294,0,0,0,0
"2015-10-29",18294,0,0,0,0
"2015-10-30",18294,0,0,0,0
"2015-10-31",18294,0,0,0,0
"2015-11-01",18294,0,0,0,0
"2015-11-02",18294,0,0,0,0
"2015-11-03",18294,0,0,0,0
"2015-11-04",18294,0,0,0,0
"2015-11-05",18294,0,0,0,0
"2015-11-06",18294,0,0,0,0
"2015-11-07",18294,0,0,0,0
"2015-11-08",18294,0,0,0,0
"2015-11-09",18294,0,0,0,0
"2015-11-10",18294,0,0,0,0
"2015-11-11",18294,0,0,0,0
"2015-11-12",18294,0,0,0,0
"2015-11-13",18294,0,0,0,0
"2015-11-14",18294,0,0,0,0
"2015-11-15",18294,0,0,0,0
"2015-11-16",18294,0,0,0,0
"2015-11-17",18294,0,0,0,0
"2015-11-18",18294,0,0,0,0
"2015-11-19",18294,0,0,0,0
"2015-11-20",18294,0,0,0,0
"2015-11-21",18294,0,0,0,0
"2015-11-22",18294,0,0,0,0
"2015-11-23",18294,0,0,0,0
"2015-11-24",18294,0,0,0,0
"2015-11-25",18294,0,0,0,0
"2015-11-26",18294,0,0,0,0
"2015-11-27",18294,0,0,0,0
"2015-11-28",18294,0,0,0,0
"2015-11-29",18294,0,0,0,0
"2015-11-30",18294,0,0,0,0
"2015-12-01",18294,0,0,0,0
"2015-12-02",18294,0,0,0,0
"2015-12-03",18294,0,0,0,0
"2015-12-04",18294,0,0,0,0
"2015-12-05",18294,0,0,0,0
"2015-12-06",18294,0,0,0,0
"2015-12-07",18294,0,0,0,0
"2015-12-08",18294,0,0,0,0
"2015-12-09",18294,0,0,0,0
"2015-12-10",18294,0,0,0,0
"2015-12-11",18294,0,0,0,0
"2015-12-12",18294,0,0,0,0
"2015-12-13",18294,0,0,0,0
"2015-12-14",18294,0,0,0,0
"2015-12-15",18294,0,0,0,0
"2015-12-16",18294,0,0,0,0
"2015-12-17",18294,0,0,0,0
"2015-12-18",18294,0,0,0,0
"2015-12-19",18294,0,0,0,0
"2015-12-20",18294,0,0,0,0
"2015-12-21",18294,0,0,0,0
"2015-12-22",18294,0,0,0,0
"2015-12-23",18294,0,0,0,0
"2015-12-24",18294,0,0,0,0
"2015-12-25",18294,0,0,0,0
"2015-12-26",18294,0,0,0,0
"2015-12-27",18294,0,0,0,0
"2015-12-28",18294,0,0,0,0
"2015-12-29",18294,0,0,0,0
"2015-12-30",18294,0,0,0,0
"2015-12-31",18294,0,0,0,0
"2016-01-01",18294,0,0,0,0
"2016-01-02",18294,0,0,0,0
"2016-01-03",18294,0,0,0,0
"2016-01-04",18294,0,0,0,0
"2016-01-05",18294,0,0,0,0
"2016-01-06",18294,0,0,0,0
"2016-01-07",18294,0,0,0,0
"2016-01-08",18294,0,0,0,0
"2016-01-09",18294,0,0,0,0
"2016-01-10",18294,0,0,0,0
"2016-01-11",18294,0,0,0,0
"2016-01-12",18294,0,0,0,0
"2016-01-13",18294,0,0,0,0
"2016-01-14",18294,0,0,0,0
"2016-01-15",18294,0,0,0,0
"2016-01-16",18294,0,0,0,0
"2016-01-17",18294,0,0,0,0
"2016-01-18",18294,0,0,0,0
"2016-01-19",18294,0,0,0,0
"2016-01-20",18294,0,0,0,0
"2016-01-21",18294,0,0,0,0
"2016-01-22",18294,0,0,0,0
"2016-01-23",18294,0,0,0,0
"2016-01-24",18294,0,0,0,0
"2016-01-25",18294,0,0,0,0
"2016-01-26",18294,0,0,0,0
"2016-01-27",18294,0,0,0,0
"2016-01-28",18294,0,0,0,0
"2016-01-29",18294,0,0,0,0
"2016-01-30",18294,0,0,0,0
"2016-01-31",18294,0,0,0,0
"2016-02-01",18294,0,0,0,0
"2016-02-02",18294,0,0,0,0
"2016-02-03",18294,0,0,0,0
"2016-02-04",18294,0,0,0,0
"2016-02-05",18294,0,0,0,0
"2016-02-06",18294,0,0,0,0
"2016-02-07",18294,0,0,0,0
"2016-02-08",18294,0,0,0,0
"2016-02-09",18294,0,0,0,0
"2016-02-10",18294,0,0,0,0
"2016-02-11",18294,0,0,0,0
"2016-02-12",18294,0,0,0,0
"2016-02-13",18294,0,0,0,0
"2016-02-14",18294,0,0,0,0
"2016-02-15",18294,0,0,0,0
"2016-02-16",18294,0,0,0,0
"2016-02-17",18294,0,0,0,0
"2016-02-18",18294,0,0,0,0
"2016-02-19",18294,0,0,0,0
"2016-02-20",18294,0,0,0,0
"2016-02-21",18294,0,0,0,0
"2016-02-22",18294,0,0,0,0
"2016-02-23",18294,0,0,0,0
"2016-02-24",18294,0,0,0,0
"2016-02-25",18294,0,0,0,0
"2016-02-26",18294,0,0,0,0
"2016-02-27",18294,0,0,0,0
"2016-02-28",18294,0,0,0,0
"2016-02-29",18294,0,0,0,0
"2016-03-01",18294,0,0,0,0
"2016-03-02",18294,0,0,0,0
"2016-03-03",18294,0,0,0,0
"2016-03-04",18294,0,0,0,0
"2016-03-05",18294,0,0,0,0
"2016-03-06",18294,0,0,0,0
"2016-03-07",18294,0,0,0,0
"2016-03-08",18294,0,0,0,0
"2016-03-09",18294,0,0,0,0
"2016-03-10",18294,0,0,0,0
"2016-03-11",18294,0,0,0,0
"2016-03-12",18294,0,0,0,0
"2016-03-13",18294,0,0,0,0
"2016-03-14",18294,0,0,0,0
"2016-03-15",18294,0,0,0,0
"2016-03-16",18294,0,0,0,0
"2016-03-17",18294,0,0,0,0
"2016-03-18",18294,0,0,0,0
"2016-03-19",18294,0,0,0,0
"2016-03-20",18294,0,0,0,0
"2016-03-21",18294,0,0,0,0
"2016-03-22",18294,0,0,0,0
"2016-03-23",18294,0,0,0,0
"2016-03-24",18294,0,0,0,0
"2016-03-25",18294,0,0,0,0
"2016-03-26",18294,0,0,0,0
"2016-03-27",18294,0,0,0,0
"2016-03-28",18294,0,0,0,0
"2016-03-29",18294,0,0,0,0
"2016-03-30",18294,0,0,0,0
"2016-03-31",18294,0,0,0,0
"2016-04-01",18294,0,0,0,0
"2016-04-02",18294,0,0,0,0
"2016-04-03",18294,0,0,0,0
"2016-04-04",18294,0,0,0,0
"2016-04-05",18294,0,0,0,0
"2016-04-06",18294,0,0,0,0
"2016-04-07",18294,0,0,0,0
"2016-04-08",18294,0,0,0,0
"2016-04-09",18294,0,0,0,0
"2016-04-10",18294,0,0,0,0
"2016-04-11",18294,0,0,0,0
"2016-04-12",18294,0,0,0,0
"2016-04-13",18294,0,0,0,0
"2016-04-14",18294,0,0,0,0
"2016-04-15",18294,0,0,0,0
"2016-04-16",18294,0,0,0,0
"2016-04-17",18294,0,0,0,0
"2016-04-18",18294,0,0,0,0
"2016-04-19",18294,0,0,0,0
"2016-04-20",18294,0,0,0,0
"2016-04-21",18294,0,0,0,0
"2016-04-22",18294,0,0,0,0
"2016-04-23",18294,0,0,0,0
"2016-04-24",18294,0,0,0,0
"2016-04-25",18294,0,0,0,0
"2016-04-26",18294,0,0,0,0
"2016-04-27",18294,0,0,0,0
"2016-04-28",18294,0,0,0,0
"2016-04-29",18294,0,0,0,0
"2016-04-30",18294,0,0,0,0
"2016-05-01",18294,0,0,0,0
"2016-05-02",18294,0,0,0,0
"2016-05-03",18294,0,0,0,0
"2016-05-04",18294,0,0,0,0
"2016-05-05",18294,0,0,0,0
"2016-05-06",18294,0,0,0,0
"2016-05-07",18294,0,0,0,0
"2016-05-08",18294,0,0,0,0
"2016-05-09",18294,0,0,0,0
"2016-05-10",18294,0,0,0,0
"2016-05-11",18294,0,0,0,0
"2016-05-12",18294,0,0,0,0
"2016-05-13",18294,0,0,0,0
"2016-05-14",18294,0,0,0,0
"2016-05-15",18294,0,0,0,0
"2016-05-16",18294,0,0,0,0
"2016-05-17",18294,0,0,0,0
"2016-05-18",18294,0,0,0,0
"2016-05-19",18294,0,0,0,0
"2016-05-20",18294,0,0,0,0
"2016-05-21",18294,0,0,0,0
"2016-05-22",18294,0,0,0,0
"2016-05-23",18294,0,0,0,0
"2016-05-24",18294,0,0,0,0
"2016-05-25",18294,0,0,0,0
"2016-05-26",18294,0,0,0,0
"2016-05-27",18294,0,0,0,0
"2016-05-28",18294,0,0,0,0
"2016-05-29",18294,0,0,0,0
"2016-05-30",18294,0,0,0,0
"2016-05-31",18294,0,0,0,0
"2016-06-01",18294,0,0,0,0
"2016-06-02",18294,0,0,0,0
"2016-06-03",18294,0,0,0,0
"2016-06-04",18294,0,0,0,0
"2016-06-05",18294,0,0,0,0
"2016-06-06",18294,0,0,0,0
"2016-06-07",18294,0,0,0,0
"2016-06-08",18294,0,0,0,0
"2016-06-09",18294,0,0,0,0
"2016-06-10",18294,0,0,0,0
"2016-06-11",18294,0,0,0,0
"2016-06-12",18294,0,0,0,0
"2016-06-13",18294,0,0,0,0
"2016-06-14",18294,0,0,0,0
"2016-06-15",18294,0,0,0,0
"2016-06-16",18294,0,0,0,0
"2016-06-17",18294,0,0,0,0
"2016-06-18",18294,0,0,0,0
"2016-06-19",18294,0,0,0,0
"2016-06-20",18294,0,0,0,0
"2016-06-21",18294,0,0,0,0
"2016-06-22",18294,0,0,0,0
"2016-06-23",18294,0,0,0,0
"2016-06-24",18294,0,0,0,0
"2016-06-25",18294,0,0,0,0
"2016-06-26",18294,0,0,0,0
"2016-06-27",18294,0,0,0,0
"2016-06-28",18294,0,0,0,0
"2016-06-29",18294,0,0,0,0
"2016-06-30",18294,0,0,0,0
"2016-07-01",18294,0,0,0,0
"2016-07-02",18294,0,0,0,0
"2016-07-03",18294,0,0,0,0
"2016-07-04",18294,0,0,0,0
"2016-07-05",18294,0,0,0,0
"2016-07-06",18294,0,0,0,0
"2016-07-07",18294,0,0,0,0
"2016-07-08",18294,0,0,0,0
"2016-07-09",18294,0,0,0,0
"2016-07-10",18294,0,0,0,0
"2016-07-11",18294,0,0,0,0
"2016-07-12",18294,0,0,0,0
"2016-07-13",18294,0,0,0,0
"2016-07-14",18294,0,0,0,0
"2016-07-15",18294,0,0,0,0
"2016-07-16",18294,0,0,0,0
"2016-07-17",18294,0,0,0,0
"2016-07-18",18294,0,0,0,0
"2016-07-19",18294,0,0,0,0
"2016-07-20",18294,0,0,0,0
"2016-07-21",18294,0,0,0,0
"2016-07-22",18294,0,0,0,0
"2016-07-23",18294,0,0,0,0
"2016-07-24",18294,0,0,0,0
"2016-07-25",18294,0,0,0,0
"2016-07-26",18294,0,0,0,0
"2016-07-27",18294,0,0,0,0
"2016-07-28",18294,0,0,0,0
"2016-07-29",18294,0,0,0,0
"2016-07-30",18294,0,0,0,0
"2016-07-31",18294,0,0,0,0
"2016-08-01",18294,0,0,0,0
"2016-08-02",18294,0,0,0,0
"2016-08-03",18294,0,0,0,0
"2016-08-04",18294,0,0,0,0
"2016-08-05",18294,0,0,0,0
"2016-08-06",18294,0,0,0,0
"2016-08-07",18294,0,0,0,0
"2016-08-08",18294,0,0,0,0
"2016-08-09",18294,0,0,0,0
"2016-08-10",18294,0,0,0,0
"2016-08-11",18294,0,0,0,0
"2016-08-12",18294,0,0,0,0
"2016-08-13",18294,0,0,0,0
"2016-08-14",18294,0,0,0,0
"2016-08-15",18294,0,0,0,0
"2016-08-16",18294,0,0,0,0
"2016-08-17",18294,0,0,0,0
"2016-08-18",18294,0,0,0,0
"2016-08-19",18294,0,0,0,0
"2016-08-20",18294,0,0,0,0
"2016-08-21",18294,0,0,0,0
"2016-08-22",18294,0,0,0,0
"2016-08-23",18294,0,0,0,0
"2016-08-24",18294,0,0,0,0
"2016-08-25",18294,0,0,0,0
"2016-08-26",18294,0,0,0,0
"2016-08-27",18294,0,0,0,0
"2016-08-28",18294,0,0,0,0
"2016-08-29",18294,0,0,0,0
"2016-08-30",18294,0,0,0,0
"2016-08-31",18294,0,0,0,0
"2016-09-01",18294,0,0,0,0
"2016-09-02",18294,0,0,0,0
"2016-09-03",18294,0,0,0,0
"2016-09-04",18294,0,0,0,0
"2016-09-05",18294,0,0,0,0
"2016-09-06",18294,0,0,0,0
"2016-09-07",18294,0,0,0,0
"2016-09-08",18294,0,0,0,0
"2016-09-09",18294,0,0,0,0
"2016-09-10",18294,0,0,0,0
"2016-09-11",18294,0,0,0,0
"2016-09-12",18294,0,0,0,0
"2016-09-13",18294,0,0,0,0
"2016-09-14",18294,0,0,0,0
"2016-09-15",18294,0,0,0,0
"2016-09-16",18294,0,0,0,0
"2016-09-17",18294,0,0,0,0
"2016-09-18",18294,0,0,0,0
"2016-09-19",18294,0,0,0,0
"2016-09-20",18294,0,0,0,0
"2016-09-21",18294,0,0,0,0
"2016-09-22",18294,0,0,0,0
"2016-09-23",18294,0,0,0,0
"2016-09-24",18294,0,0,0,0
"2016-09-25",18294,0,0,0,0
"2016-09-26",18294,0,0,0,0
"2016-09-27",18294,0,0,0,0
"2016-09-28",18294,0,0,0,0
"2016-09-29",18294,0,0,0,0
"2016-09-30",18294,0,0,0,0
"2016-10-01",18294,0,0,0,0
"2016-10-02",18294,0,0,0,0
"2016-10-03",18294,0,0,0,0
"2016-10-04",18294,0,0,0,0
"2016-10-05",18294,0,0,0,0
"2016-10-06",18294,0,0,0,0
"2016-10-07",18294,0,0,0,0
"2016-10-08",18294,0,0,0,0
"2016-10-09",18294,0,0,0,0
"2016-10-10",18294,0,0,0,0
"2016-10-11",18294,0,0,0,0
"2016-10-12",18294,0,0,0,0
"2016-10-13",18294,0,0,0,0
"2016-10-14",18294,0,0,0,0
"2016-10-15",18294,0,0,0,0
"2016-10-16",18294,0,0,0,0
"2016-10-17",18294,0,0,0,0
"2016-10-18",18294,0,0,0,0
"2016-10-19",18294,0,0,0,0
"2016-10-20",18294,0,0,0,0
"2016-10-21",18294,0,0,0,0
"2016-10-22",18294,0,0,0,0
"2016-10-23",18294,0,0,0,0
"2016-10-24",18294,0,0,0,0
"2016-10-25",18294,0,0,0,0
"2016-10-26",18294,0,0,0,0
"2016-10-27",18294,0,0,0,0
"2016-10-28",18294,0,0,0,0
"2016-10-29",18294,0,0,0,0
"2016-10-30",18294,0,0,0,0
"2016-10-31",18294,0,0,0,0
"2016-11-01",18294,0,0,0,0
"2016-11-02",18294,0,0,0,0
"2016-11-03",18294,0,0,0,0
"2016-11-04",18294,0,0,0,0
"2016-11-05",18294,0,0,0,0
"2016-11-06",18294,0,0,0,0
"2016-11-07",18294,0,0,0,0
"2016-11-08",18294,0,0,0,0
"2016-11-09",18294,0,0,0,0
"2016-11-10",18294,0,0,0,0
"2016-11-11",18294,0,0,0,0
"2016-11-12",18294,0,0,0,0
"2016-11-13",18294,0,0,0,0
"2016-11-14",18294,0,0,0,0
"2016-11-15",18294,0,0,0,0
"2016-11-16",18294,0,0,0,0
"2016-11-17",18294,0,0,0,0
"2016-11-18",18294,0,0,0,0
"2016-11-19",18294,0,0,0,0
"2016-11-20",18294,0,0,0,0
"2016-11-21",18294,0,0,0,0
"2016-11-22",18294,0,0,0,0
"2016-11-23",18294,0,0,0,0
"2016-11-24",18294,0,0,0,0
"2016-11-25",18294,0,0,0,0
"2016-11-26",18294,0,0,0,0
"2016-11-27",18294,0,0,0,0
"2016-11-28",18294,0,0,0,0
"2016-11-29",18294,0,0,0,0
"2016-11-30",18294,0,0,0,0
"2016-12-01",18294,0,0,0,0
"2016-12-02",18294,0,0,0,0
"2016-12-03",18294,0,0,0,0
"2016-12-04",18294,0,0,0,0
"2016-12-05",18294,0,0,0,0
"2016-12-06",18294,0,0,0,0
"2016-12-07",18294,0,0,0,0
"2016-12-08",18294,0,0,0,0
"2016-12-09",18294,0,0,0,0
"2016-12-10",18294,0,0,0,0
"2016-12-11",18294,0,0,0,0
"2016-12-12",18294,0,0,0,0
"2016-12-13",18294,0,0,0,0
"2016-12-14",18294,0,0,0,0
"2016-12-15",18294,0,0,0,0
"2016-12-16",18294,0,0,0,0
"2016-12-17",18294,0,0,0,0
"2016-12-18",18294,0,0,0,0
"2016-12-19",18294,0,0,0,0
"2016-12-20",18294,0,0,0,0
"2016-12-21",18294,0,0,0,0
"2016-12-22",18294,0,0,0,0
"2016-12-23",18294,0,0,0,0
"2016-12-24",18294,0,0,0,0
"2016-12-25",18294,0,0,0,0
"2016-12-26",18294,0,0,0,0
"2016-12-27",18294,0,0,0,0
"2016-12-28",18294,0,0,0,0
"2016-12-29",18294,0,0,0,0
"2016-12-30",18294,0,0,0,0
"2016-12-31",18294,0,0,0,0
"2017-01-01",18294,0,0,0,0
"2017-01-02",18294,0,0,0,0
"2017-01-03",18294,0,0,0,0
"2017-01-04",18294,0,0,0,0
"2017-01-05",18294,0,0,0,0
"2017-01-06",18294,0,0,0,0
"2017-01-07",18294,0,0,0,0
"2017-01-08",18294,0,0,0,0
"2017-01-09",18294,0,0,0,0
"2017-01-10",18294,0,0,0,0
"2017-01-11",18294,0,0,0,0
"2017-01-12",18294,0,0,0,0
"2017-01-13",18294,0,0,0,0
"2017-01-14",18294,0,0,0,0
"2017-01-15",18294,0,0,0,0
"2017-01-16",18294,0,0,0,0
"2017-01-17",18294,0,0,0,0
"2017-01-18",18294,0,0,0,0
"2017-01-19",18294,0,0,0,0
"2017-01-20",18294,0,0,0,0
"2017-01-21",18294,0,0,0,0
"2017-01-22",18294,0,0,0,0
"2017-01-23",18294,0,0,0,0
"2017-01-24",18294,0,0,0,0
"2017-01-25",18294,0,0,0,0
"2017-01-26",18294,0,0,0,0
"2017-01-27",18294,0,0,0,0
"2017-01-28",18294,0,0,0,0
"2017-01-29",18294,0,0,0,0
"2017-01-30",18294,0,0,0,0
"2017-01-31",18294,0,0,0,0
"2017-02-01",18294,0,0,0,0
"2017-02-02",18294,0,0,0,0
"2017-02-03",18294,0,0,0,0
"2017-02-04",18294,0,0,0,0
"2017-02-05",18294,0,0,0,0
"2017-02-06",18294,0,0,0,0
"2017-02-07",18294,0,0,0,0
"2017-02-08",18294,0,0,0,0
"2017-02-09",18294,0,0,0,0
"2017-02-10",18294,0,0,0,0
"2017-02-11",18294,0,0,0,0
"2017-02-12",18294,0,0,0,0
"2017-02-13",18294,0,0,0,0
"2017-02-14",18294,0,0,0,0
"2017-02-15",18294,0,0,0,0
"2017-02-16",18294,0,0,0,0
"2017-02-17",18294,0,0,0,0
"2017-02-18",18294,0,0,0,0
"2017-02-19",18294,0,0,0,0
"2017-02-20",18294,0,0,0,0
"2017-02-21",18294,0,0,0,0
"2017-02-22",18294,0,0,0,0
"2017-02-23",18294,0,0,0,0
"2017-02-24",18294,0,0,0,0
"2017-02-25",18294,0,0,0,0
"2017-02-26",18294,0,0,0,0
"2017-02-27",18294,0,0,0,0
"2017-02-28",18294,0,0,0,0
"2017-03-01",18294,0,0,0,0
"2017-03-02",18294,0,0,0,0
"2017-03-03",18294,0,0,0,0
"2017-03-04",18294,0,0,0,0
"2017-03-05",18294,0,0,0,0
"2017-03-06",18294,0,0,0,0
"2017-03-07",18294,0,0,0,0
"2017-03-08",18294,0,0,0,0
"2017-03-09",18294,0,0,0,0
"2017-03-10",18294,0,0,0,0
"2017-03-11",18294,0,0,0,0
"2017-03-12",18294,0,0,0,0
"2017-03-13",18294,0,0,0,0
"2017-03-14",18294,0,0,0,0
